BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series,Raters
352383,Antigone,"Jean Anouilh, Lewis Galantière",3.83,18059,5427,6188,4703,1373,368,510,72.0,February 4th 1944,Paperback,English,823316,,18059
1209964,Antigone,Jean Anouilh,3.83,18065,5430,6190,4704,1373,368,511,122.0,February 4th 1944,Paperback,French,823316,,18065
1209969,Ion (Euripides),Euripides,3.67,653,150,210,228,55,10,49,,August 31st 1995,Hardcover,English,27205,,653
1209983,Adrian Mole: From Minor To Major,Sue Townsend,4.06,1085,409,389,235,46,6,50,,August 1991,,,1408968,Adrian Mole,1085
1209989,Journey to the Centre of the Earth,"Jules Verne, William Butcher",3.86,162009,45810,61378,43406,9158,2257,5850,217.0,November 25th 1864,Paperback,English,1924715,,162009
1209991,Journey To The Centre Of The Earth,Jules Verne,3.86,162009,45810,61378,43406,9158,2257,5850,,November 25th 1864,,,1924715,,162009
606580,War in Heaven: God's Epic Battle with Evil,Derek Prince,4.19,185,90,58,23,11,3,23,191.0,August 1st 2003,Paperback,English,593126,,185
1209999,The Seventh Scroll,Wilbur Smith,4.12,17287,6968,6501,2990,663,165,620,950.0,1995,Hardcover,English,1892181,Ancient Egypt,17287
661723,Bushido: The Soul of Japan. A Classic Essay on Samurai Ethics,Inazō Nitobe,3.92,5850,1849,2138,1465,321,77,355,160.0,1899,Hardcover,English,2279634,,5850
1210001,The Seventh Scroll,"Wilbur Smith, James  Fox",4.12,17287,6968,6501,2990,663,165,620,1.0,1995,Audiobook,English,1892181,Ancient Egypt,17287
1210000,The Seventh Scroll,Wilbur Smith,4.12,17287,6968,6501,2990,663,165,620,,1995,Paperback,,1892181,Ancient Egypt,17287
1210004,Bushido Soul of Japan,Inazō Nitobe,3.92,5850,1849,2138,1465,321,77,355,203.0,1899,Hardcover,English,2279634,,5850
1210005,Bushido: The Soul Of Japan,"Inazō Nitobe, William Elliot Griffis",3.92,5850,1849,2138,1465,321,77,355,190.0,1899,Paperback,English,2279634,,5850
1210006,Bushido - The Soul of Japan,Inazō Nitobe,3.92,5850,1849,2138,1465,321,77,355,192.0,1899,Paperback,English,2279634,,5850
1210020,Long-Term Psychodynamic Psychotherapy: A Basic Text,Glen O. Gabbard,4.03,168,50,78,35,5,0,8,224.0,March 1st 2004,Paperback,English,1198393,,168
1210033,Heart to Heart,Helen Perelman,4.1,420,233,66,69,34,18,23,128.0,2007,Paperback,,1198406,Stories from East High,420
1210056,The Pearl,"Anonymous, James Jennings",3.71,350,108,107,80,35,20,28,656.0,1879,Paperback,English,2456034,,350
552705,The Deer and the Cauldron: The First Book,"Jin Yong, John Minford",4.29,995,496,337,126,23,13,55,475.0,October 24th 1969,Hardcover,English,539940,The Deer and the Cauldron,995
1210051,鹿鼎記（一）,"Jin Yong, Jin Yong",4.29,995,496,337,126,23,13,55,472.0,October 24th 1969,軟精裝,Chinese,539940,The Deer and the Cauldron,995
1210062,倚天屠龙记（共四册）,Jin Yong,4.34,925,470,319,120,11,5,39,,1961,Paperback,Chinese,188610,Condor Trilogy,925
1210058,Pearl,Mary Gordon,3.18,561,74,154,182,102,49,101,648.0,2005,Hardcover,English,724962,,561
1210060,碧血剑（上下册）,"Jin Yong, Jin Yong",3.76,310,77,105,108,17,3,11,785.0,1956,Paperback,Chinese,188614,The Sword Stained with Royal Blood,310
1210061,笑傲江湖,Jin Yong,4.57,1279,856,316,88,13,6,72,,1967,,,1198436,,1279
1210063,笑傲江湖,Jin Yong,4.57,1279,856,316,88,13,6,72,,1967,,,1198436,,1279
1210081,Smart Women Finish Rich,David Bach,4.07,3522,1293,1365,719,119,26,368,,December 29th 1998,,,1498574,,3522
1210079,Smart Women Finish Rich : 7 Steps to Achieving Financial Security and Funding Your Dreams,David Bach,4.07,3521,1293,1365,718,119,26,368,0.0,December 29th 1998,Audio CD,English,1498574,,3521
1210077,The Younger Edda,Snorri Sturluson,4.17,11473,4729,4356,2027,301,60,564,224.0,March 30th 1220,Paperback,English,1198450,,11473
1210080,Smart Women Finish Rich : 7 Steps to Achieving Financial Security and Funding Your Dreams,David Bach,4.07,3521,1293,1365,718,119,26,368,3.0,December 29th 1998,Audio Cassette,English,1498574,,3521
1210082,Smart Women Finish Rich Interactive,David Bach,4.07,3521,1293,1365,718,119,26,368,,December 29th 1998,Audio CD,,1498574,,3521
1210084,To The Far Blue Mountains,Louis L'Amour,4.16,6904,2810,2561,1363,145,25,302,156.0,December 31st 1976,Hardcover,English,2987710,The Sacketts,6904
1210085,Lando,Louis L'Amour,3.98,4347,1405,1667,1102,146,27,151,222.0,December 1962,Hardcover,English,2216977,The Sacketts,4347
4531901,神雕侠侣（全四冊）,Jin Yong,4.43,959,570,266,95,24,4,47,,1959,Paperback,Chinese,539945,Condor Trilogy,959
