BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
1279686,Genghis: Birth of an Empire,Conn Iggulden,4.35,28938,14801,10434,2961,478,264,1567,528,Mass Market Paperback,English,1272275,Conqueror,2007
12282162,Ladies' Bane,"Patricia Wentworth, Diana Bishop",3.91,860,235,355,235,31,4,69,8,Audiobook,English,1953535,Miss Silver,1952
12282161,Kuolleet sielut,"Nikolai Gogol, Jalo Kalima, Vappu Orlov",3.97,70243,24846,25455,14341,4042,1559,2698,298,Hardcover,Finnish,1001298,None,1842
12282164,Ladies' Bane,Patricia Wentworth,3.91,860,235,355,235,31,4,69,334,ebook,English,1953535,Miss Silver,1952
12282163,Ladies' Bane,"Patricia Wentworth, Diana Bishop",3.91,860,235,355,235,31,4,69,8,Audio CD,English,1953535,Miss Silver,1952
1165509,Lost Treasure of the Emerald Eye,"Geronimo Stilton, Matt Wolf, Larry Keys, Mark Nithael, Kat Stevens",4.09,12355,6134,2817,2228,767,409,559,128,Paperback,English,3160950,Geronimo Stilton,2000
12282192,La clave secreta de Hiram,"Christopher    Knight, Robert Lomas, Gilda Moreno Manzur",3.73,2269,643,713,643,196,74,134,449,Paperback,Spanish,1057808,The Hiram Key,1996
12282209,Det gyldne bæger,Marcia Willett,4.03,478,175,190,76,26,11,34,274,Paperback,Danish,383405,None,2005
12282104,Seven Steps To Treason,Michael Hartland,3.76,155,40,62,36,10,7,8,270,Paperback,English,2042086,None,1979
12282231,The Fire,"James Patterson, Elijah Wood, Spencer Locke",3.86,18260,6223,5700,4451,1389,497,908,7,Audio CD,English,15690266,Witch & Wizard,2011
12282237,Ett Skritt Etter,Henning Mankell,4.09,19391,6670,8791,3171,510,249,782,270,Paperback,English,1428663,Kurt Wallander,1997
12282239,Milo Armadillo,Jan Fearnley,3.88,163,39,73,43,8,0,41,36,Hardcover,Spanish,6771865,None,2009
12282241,"The World That Never Was: A True Story of Dreamers, Schemers, Anarchists, and Secret Agents",Alex Butterworth,3.44,297,49,96,99,43,10,52,537,Kindle Edition,English,10169283,None,2010
12282251,The Pleasure of Pain,Shameek Speight,4.41,2122,1395,404,190,70,63,131,230,Kindle Edition,English,17258284,The Pleasure of Pain,2011
12282248,How to Knit a Love Song,"Rachael Herron, Carrington MacDuffie",3.63,3073,708,1055,871,336,103,471,0,MP3 Book,English,6914453,Cypress Hollow Yarn,2010
12282253,The Home for Broken Hearts,Rowan Coleman,3.52,919,159,317,317,99,27,128,343,Paperback,English,7130164,None,2010
12282249,Songs of the Earth,Elspeth Cooper,3.67,2220,519,822,595,197,87,247,496,Mass Market Paperback,English,14303958,The Wild Hunt,2011
12282268,One Was a Soldier,"Julia Spencer-Fleming, Suzanne Toren",4.14,5663,2137,2415,914,150,47,654,270,Audio CD,English,6576564,The Rev. Clare Fergusson & Russ Van Alstyne Mysteries,2011
12282272,Prima,Carolyn Faulkner,3.45,381,91,101,111,46,32,50,270,Nook,English,6268703,Prima,2004
12282280,Das Gesetz Des Reichwerdens,Wallace D. Wattles,4.16,33897,17006,8891,5310,1700,990,1089,270,Paperback,English,332860,None,1910
12282281,Samurai Mit Herz Führen Mit Verantwortung,"Brian Klemmer, Thomas Bauer",4.1,642,311,168,102,35,26,50,270,Paperback,English,2465996,None,2007
12282298,Der Schatz im Silbersee,Karl May,4.05,2322,846,874,491,93,18,40,0,Nook,German,1973797,None,1894
12282306,"The Long Snapper: A Second Chance, a Super Bowl, a Lesson for Life",Jeffrey Marx,3.69,321,60,129,109,18,5,47,256,Hardcover,English,6783042,None,2009
12282320,"Pieter Daens, of hoe in de negentiende eeuw de arbeiders van Aalst vochten tegen armoede en onrecht",Louis Paul Boon,3.76,282,57,122,84,15,4,10,661,Hardcover,Dutch,4992168,None,1971
12282332,De stemmen van de Pamano,"Jaume Cabré, Pieter Lamberts, Joan Garrit",4.27,1627,820,548,170,52,37,164,536,Paperback,Dutch,6146946,None,2004
12282335,Fight Girl T03,Izumi Tsubaki,4.16,875,386,280,174,29,6,27,189,Unknown Binding,French,6194767,俺様ティーチャー / Oresama teacher,2008
13773346,"A Game for Swallows: To Die, to Leave, to Return","Zeina Abirached, Edward Gauvin",3.78,3405,883,1269,937,239,77,475,188,Hardcover,English,2769651,None,2007
12282337,Venetia,Georgette Heyer,4.1,14791,5918,5390,2729,578,176,1468,340,Kindle Edition,English,3234302,None,1958
12282342,Bloodmoney,David Ignatius,3.78,2570,614,1030,723,157,46,271,270,Audio CD,English,14737539,None,2011
12282347,Wachtmeister Studer,Friedrich Glauser,3.71,292,55,131,79,21,6,35,256,Paperback,German,837766,Wachtmeister Studer,1936
12282344,Venetia,Georgette Heyer,4.1,14791,5918,5390,2729,578,176,1468,308,Hardcover,English,3234302,None,1958
12282351,The Sisters Brothers,Patrick deWitt,3.83,89886,22616,38958,20699,5465,2148,9034,338,Kindle Edition,English,14741473,None,2011
12282361,No Boundary: Eastern and Western Approaches to Personal Growth,Ken Wilber,4.27,1360,696,416,181,49,18,93,0,ebook,English,438512,None,1979
12282379,Wings,"Aprilynne Pike, Mandy Siegfried",3.75,78534,24957,23554,18959,7314,3750,5102,0,Audio CD,English,5122699,Wings,2009
12282398,La fin des secrets,"Diane Chamberlain, Francine Siéty",4.1,5559,1953,2392,1050,144,20,371,347,Paperback,French,2492535,Kiss River,2004
12282407,The Secret Garden,"Frances Hodgson Burnett, Yuan Shi",4.13,946203,406051,323460,166286,35759,14647,20342,270,Kindle Edition,English,3186437,None,1910
12282413,Desert Sons,Mark Kendrick,4.03,1487,664,383,310,78,52,61,0,ebook,English,114586,Desert Sons,2001
12282415,Into This World We're Thrown,Mark Kendrick,4.06,413,169,138,77,20,9,25,0,ebook,English,114581,Desert Sons,2002
12282412,"Good Night, Maman",Norma Fox Mazer,3.83,591,165,217,164,31,14,67,185,Hardcover,English,2297352,None,1999
12282431,Adolphe,"Benjamin Constant, Jean-Marie Roulin",3.56,2180,446,711,709,248,66,224,206,Paperback,French,2425912,None,1816
12282321,Top 10 Berlin,Jürgen Scheunemann,3.85,185,49,70,58,6,2,19,192,Paperback,English,426935,None,2000
12282453,El profesor de francés,Laura Kinsale,3.71,2837,685,1042,797,232,81,342,332,ebook,Spanish,6930843,None,2010
12282459,Mr. Pink Floyd Roman,"Michele Mari, Birte Völker",4.05,445,158,183,80,17,7,55,304,Hardcover,German,14582733,None,2010
12282463,Yıldızın Saati,"Clarice Lispector, Hamide Koyukan",4.03,19269,7494,6810,3519,1034,412,1651,90,Paperback,Turkish,3496197,None,1977
12282474,Storm Over Warlock,Andre Norton,3.89,1151,360,377,353,55,6,82,0,Nook,English,1171808,Forerunner,1960
3507,Twelve Sharp,Janet Evanovich,4.15,91527,36197,35557,17388,2008,377,2338,310,Hardcover,English,3095104,Stephanie Plum,2006
12282480,My Brother Martin: A Sister Remembers Growing Up with the Rev. Dr. Martin Luther King Jr.,"Christine King Farris, Chris K. Soentpiet",4.3,1996,1049,590,282,52,23,192,40,Hardcover,English,793958,None,2003
12282483,Return to Thrush Green,Miss Read,4.33,832,406,316,93,14,3,62,260,ebook,English,2066795,Thrush Green,1978
12282484,Annexed,Sharon Dogar,3.78,4774,1261,1773,1280,339,121,736,0,Audio CD,English,12338874,None,2010
12282487,Mudshark,Gary Paulsen,3.48,1317,258,383,456,167,53,270,2,Audio CD,English,6248798,None,2009
12282493,Mudshark,Gary Paulsen,3.48,1317,258,383,456,167,53,270,0,Audio CD,English,6248798,None,2009
12282506,Det irske hotel,"Maeve Binchy, Inger Vedersø",3.91,13660,3980,5324,3674,568,114,447,655,Hardcover,Danish,2667215,None,1987
12282512,Alice's Adventures in Wonderland [Illustrated],"Lewis Carroll, Amanda Lee",3.98,281599,112427,87339,55571,17498,8764,11051,86,Nook,English,55548884,Alice's Adventures in Wonderland,1865
12282522,Princess Charlotte and the Birthday Ball,"Vivian French, Sarah Gibb",3.88,583,255,119,124,53,32,49,69,Hardcover,English,245136,The Tiara Club,2005
12282525,Bikini Season,Sheila Roberts,3.64,1296,319,398,406,138,35,187,304,Paperback,English,2978965,Heart Lake,2008
12282533,Fodor's New York City 2012,"Fodor's Travel Publications Inc., Fodor's Travel Publications Inc.",3.86,214,62,81,54,14,3,26,0,ebook,English,1736660,None,1986
42718,A Star Called Henry,Roddy Doyle,3.84,8540,2307,3414,2117,543,159,596,342,Paperback,English,2308135,The Last Roundup,1999
12282545,A Star Called Henry,Roddy Doyle,3.84,8540,2307,3414,2117,543,159,596,354,Kindle Edition,English,2308135,The Last Roundup,1999
12282548,Świat się rozpada,"Chinua Achebe, Małgorzata Żbikowska",3.7,303850,76599,109483,79011,27318,11439,14919,171,Paperback,Polish,825843,The African Trilogy,1958
2731276,The Story of Edgar Sawtelle,David Wroblewski,3.62,96233,24289,32566,23186,10898,5294,13741,566,Hardcover,English,2168242,None,2008
12282595,The Rose Revived,Katie Fforde,3.97,3243,1137,1121,786,162,37,118,452,Kindle Edition,English,1465318,None,1995
12282596,Stately Pursuits,Katie Fforde,3.78,4097,1060,1465,1241,262,69,235,289,Kindle Edition,English,2841965,None,1997
12282597,Wild Designs,Katie Fforde,3.85,3413,969,1239,985,179,41,176,321,Kindle Edition,English,431736,None,1996
12282594,Nordlys,Nora Roberts,4.01,41028,14483,15133,9273,1751,388,1319,406,Hardcover,Danish,2060382,None,2004
12282598,Restoring Grace,Katie Fforde,3.8,3841,1014,1366,1187,229,45,210,350,Kindle Edition,English,259562,None,2004
12282609,Artistic License,Katie Fforde,3.66,2446,530,854,802,210,50,139,321,Kindle Edition,English,431747,None,2001
12282608,Nekroskop 3: Źródło,"Brian Lumley, Stefan Baranowski",4.15,6174,2607,2162,1156,208,41,139,440,Paperback,Polish,59169,Necroscope,1989
12282610,"Starmaker: Life as a Hollywood Publicist with Farrah, the Rat Pack and 600 More Stars Who Fired Me","Jay Bernstein, Larry Cortez Hamm, David Rubini",3.94,296,106,102,58,23,7,23,349,Paperback,English,17258674,None,2011
12282612,Death of a Salesman,Arthur  Miller,3.54,194672,41690,62148,58688,23573,8573,5054,0,Hardcover,English,2722054,None,1949
12282614,Wedding Season,Katie Fforde,3.75,6446,1687,2226,1897,498,138,341,433,Kindle Edition,English,2305394,None,2008
12282611,Death of a Salesman,Arthur  Miller,3.54,194672,41690,62148,58688,23573,8573,5054,139,Hardcover,English,2722054,None,1949
12282615,Second Thyme Around,Katie Fforde,3.8,4948,1352,1768,1408,323,97,218,270,Kindle Edition,English,431738,None,1999
12282654,Cartas a un joven poeta,"Rainer Maria Rilke, José María Valverde",4.3,55406,29055,16993,7024,1662,672,4330,97,Paperback,Spanish,1208289,None,1929
12282668,Wolverine Spiderman: Powerless,Matt Cherniss,3.56,195,35,65,72,21,2,17,270,Paperback,German,477803,Powerless,2005
5023878,Spider-Man: With Great Power...,"David Lapham, Tony Harris",2.97,167,11,32,77,35,12,27,120,Hardcover,English,5090462,Spider-Man: With Great Power,2008
371024,The Zebra-Striped Hearse,Ross Macdonald,4.08,1947,642,886,368,42,9,147,288,Paperback,English,876830,Lew Archer,1962
12282682,Publication Manual of the American Psychological Association,American Psychological Association,3.77,5653,2018,1450,1372,488,325,221,272,Paperback,English,46488,None,1952
12282683,Blood Tide,Tess Oliver,3.98,290,102,106,59,20,3,36,255,Kindle Edition,English,17040456,None,2011
12282700,The Simulacra,Philip K. Dick,3.62,4768,811,1809,1743,354,51,308,222,Kindle Edition,English,219364,None,1964
12282737,Montana Summer,Jeanette  Miller,4.01,895,336,321,172,47,19,119,270,Kindle Edition,English,16143600,None,2011
12282738,More William,Richmal Crompton,4.25,1091,501,399,160,23,8,59,270,Kindle Edition,English,2277827,Just William,1922
12282793,The Incredible Human Journey,Alice Roberts,4.15,385,156,142,76,10,1,40,384,Kindle Edition,English,6655066,None,2009
