GenreLink,Genre,NumberOfPeople
/work/shelves/6153,currently-reading,18
/work/shelves/6153,biography,17
/work/shelves/6153,default,13
/work/shelves/6153,nonfiction,12
/work/shelves/6153,own,9
/work/shelves/6153,books-i-own,7
/work/shelves/6153,astronomy,6
/work/shelves/6153,my-library,5
/work/shelves/6153,owned,4
/work/shelves/6153,reference,4
/work/shelves/6153,popular-science,3
/work/shelves/6153,owned-books,3
/work/shelves/6153,nature,3
/work/shelves/6153,stephen-hawking,3
/work/shelves/6153,memoir,2
/work/shelves/6153,2017,2
/work/shelves/6153,physical-library,2
/work/shelves/6153,paperback,2
/work/shelves/6153,space,2
/work/shelves/6153,science-tech,2
/work/shelves/6153,science-nature,2
/work/shelves/6153,cosmology,2
/work/shelves/6153,scientific-naturalism,1
/work/shelves/6153,did-not-keep,1
/work/shelves/6153,books-to-read,1
/work/shelves/6153,bc,1
/work/shelves/6153,05-format-hard-copy,1
/work/shelves/6153,02-library-ofallon-public-library,1
/work/shelves/96426,to-read,19
/work/shelves/96426,young-readers,2
/work/shelves/6153,not-keeping,1
/work/shelves/6153,smithsonian,1
/work/shelves/6153,books-to-look-at,1
/work/shelves/6153,10-genre-non-fiction,1
/work/shelves/6153,got-it,1
/work/shelves/6153,auto-biography,1
/work/shelves/6153,2021-reads,1
/work/shelves/6153,studying,1
/work/shelves/6153,home-library,1
/work/shelves/96426,childhood,2
/work/shelves/96426,fiction,2
/work/shelves/96426,childrens,2
/work/shelves/96426,fantasy,2
/work/shelves/96426,picture-book,1
/work/shelves/96426,dnf,1
/work/shelves/96426,literatura-estrangeira,1
/work/shelves/6153,science-geek,1
/work/shelves/6153,classics,1
/work/shelves/6153,develop,1
/work/shelves/6153,memoir-biography-autobiography,1
/work/shelves/6153,white-male-authors,1
/work/shelves/6153,science-ish,1
/work/shelves/6153,box17,1
/work/shelves/96426,kids,1
/work/shelves/96426,livro-papel-para-ler,1
/work/shelves/96426,young-children,1
/work/shelves/96426,my-childhood-reads,1
/work/shelves/96426,mid-age-kids,1
/work/shelves/96426,childhood-reads,1
/work/shelves/96426,default,1
/work/shelves/6153,philosophy,1
/work/shelves/6153,mathematics,1
/work/shelves/6153,library,1
/work/shelves/6153,incoming,1
/work/shelves/96426,kid-lit,1
/work/shelves/96426,scifi-fantasy,1
/work/shelves/96426,favorites,1
/work/shelves/6153,научна-литература,1
/work/shelves/6153,shelf-a-my-books,1
/work/shelves/6153,scienza,1
/work/shelves/6153,sci-fi-speculative-etc,1
/work/shelves/6153,read-non-fiction,1
/work/shelves/6153,my-book-collection,1
/work/shelves/6153,living-clarita-estante-3,1
/work/shelves/96418,to-read,23543
/work/shelves/96426,read-alouds,1
/work/shelves/96426,childrens-books,1
/work/shelves/96426,favorite-books-from-my-childhood,1
/work/shelves/96426,own,1
/work/shelves/96426,books-i-own,1
/work/shelves/96426,fantasy-and-magic,1
/work/shelves/6153,libr-soggiorno,1
/work/shelves/6153,want-to-read-maybe,1
/work/shelves/6153,eo-personal-library,1
/work/shelves/6153,to-read-non-fiction,1
/work/shelves/6153,it-wikipedia,1
/work/shelves/6153,novel,1
/work/shelves/6153,my-bookshelf,1
/work/shelves/6153,librarium,1
/work/shelves/96418,currently-reading,1055
/work/shelves/96418,science,985
/work/shelves/96418,non-fiction,432
/work/shelves/96418,physics,392
/work/shelves/96418,owned,92
/work/shelves/96418,nonfiction,91
/work/shelves/96418,popular-science,49
/work/shelves/96418,philosophy,44
/work/shelves/96426,wishlist,1
/work/shelves/96426,magic,1
/work/shelves/96426,favourites,1
/work/shelves/96426,read-with-my-daughter,1
/work/shelves/96426,for-keeps,1
/work/shelves/96426,child,1
/work/shelves/6153,adult,1
/work/shelves/6153,scienze,1
/work/shelves/6153,7th-2018-2019,1
/work/shelves/6153,owned-but-unread,1
/work/shelves/6153,have-on-shelf,1
/work/shelves/96418,own,41
/work/shelves/96418,favorites,39
/work/shelves/96418,default,34
/work/shelves/96418,books-i-own,29
/work/shelves/96418,quantum-physics,27
/work/shelves/96418,history,27
/work/shelves/96418,to-buy,23
/work/shelves/96426,strange,1
/work/shelves/96426,i,1
/work/shelves/96426,stuff,1
/work/shelves/96426,books,1
/work/shelves/96426,classic,1
/work/shelves/96426,sweet-sweet-awesomeness,1
/work/shelves/96426,read-aloud,1
/work/shelves/6153,want-to-buy,1
/work/shelves/6153,20-cat-physics,1
/work/shelves/6153,20-cat-astronomy,1
/work/shelves/6153,want-to-read-own,1
/work/shelves/6153,my-read,1
/work/shelves/6153,my-owned,1
/work/shelves/96418,science-physics,21
/work/shelves/96418,owned-books,19
/work/shelves/96418,quantum,19
/work/shelves/96418,my-library,16
/work/shelves/96418,kindle,15
/work/shelves/96418,library,15
/work/shelves/96418,wishlist,15
/work/shelves/96426,middle-kids,1
/work/shelves/96426,04,1
/work/shelves/6153,box-44,1
