BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
600001,Walking by Faith: Lessons Learned in the Dark,Jennifer Rothschild,4.27,762,373,251,111,22,5,57,112,Hardcover,English,236084,None,2002
600025,Until The Final Hour,Traudl Junge,3.93,2075,592,883,489,90,21,191,290,Paperback,English,211148,None,2002
600039,Epiphany,"Josepha Sherman, Susan Shwartz",3.88,281,100,80,75,20,6,23,342,Hardcover,English,1224910,Star Trek: Vulcan's Soul,2007
600038,An Almost Perfect Moment,Binnie Kirshenbaum,3.35,337,56,86,127,57,11,50,336,Hardcover,English,586647,None,2004
600044,"Interrogations: The Nazi Elite in Allied Hands, 1945",Richard Overy,3.94,180,49,84,37,7,3,11,672,Paperback,English,2285280,None,2001
600045,Russia's War: A History of the Soviet Effort: 1941-1945,Richard Overy,4.2,2062,928,736,311,58,29,77,394,Paperback,English,586654,None,1997
600042,Why The Allies Won,Richard Overy,4.16,1825,760,688,302,53,22,99,494,Paperback,English,1299288,None,1995
600048,The Times Complete History of the World,Richard Overy,4.27,235,116,83,23,9,4,28,0,Hardcover,English,1094508,None,2001
600050,Hometown Legend Audiobook!,Jerry B. Jenkins,3.81,323,82,130,85,20,6,25,0,Audio Cassette,English,586658,None,2001
600057,Justice at Nuremberg,Robert E. Conot,4.14,238,93,95,42,7,1,20,624,Paperback,English,586665,None,1983
600049,Fables: Legends in Exile,"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton",3.97,132270,53481,41408,23290,7586,6505,3492,290,Paperback,English,1138855,Fables (Collected Editions),2002
600063,"The Sun, the Genome and the Internet: Tools of Scientific Revolutions",Freeman Dyson,3.77,177,47,58,59,11,2,21,144,Paperback,English,586671,None,1999
600060,Tek Lords,William Shatner,3.27,629,69,160,282,105,13,35,290,Paperback,English,1575828,TekWar,1991
600064,Origins of Life,Freeman Dyson,3.96,173,55,68,41,6,3,16,112,Paperback,English,586672,None,1986
600061,Infinite in All Directions,Freeman Dyson,3.96,340,99,151,72,12,6,28,319,Paperback,English,311301,None,1988
600059,Tek Lords,William Shatner,3.27,629,69,160,282,105,13,35,290,Paperback,English,1575828,TekWar,1991
600067,Beware the Naked Man Who Offers Your His Shirt,Harvey MacKay,3.99,274,85,110,72,6,1,13,432,Hardcover,English,161612,None,1990
600071,Gamma: Exploring Euler's Constant,Julian Havil,4.16,173,70,67,32,2,2,17,266,Hardcover,English,586679,None,2003
600073,Pensées intimes,Albert Einstein,4.06,312,125,105,65,11,6,10,290,Paperback,French,487229,None,1996
600070,Tek Lab,William Shatner,3.26,508,57,124,235,79,13,23,223,Hardcover,English,586678,TekWar,1991
600075,Marvel Zombies,Robert Kirkman,3.74,6094,1726,1970,1672,531,195,376,136,Hardcover,English,586684,Marvel Zombies (Collected Editions),2006
600076,Marvel Zombies,Marvel Comics,3.74,6094,1726,1970,1672,531,195,376,136,Hardcover,English,586684,Marvel Zombies (Collected Editions),2006
600077,Marvel Zombies: Avengers,Marvel Comics,3.74,6094,1726,1970,1672,531,195,376,136,Hardcover,English,586684,Marvel Zombies (Collected Editions),2006
600095,Adoniram Judson: Bound for Burma,"Janet Benge, Geoff Benge",4.16,706,303,253,118,22,10,71,232,Paperback,English,586703,Christian Heroes: Then & Now,2000
600108,Collected Poems,Edna St. Vincent Millay,4.24,8212,3973,2637,1283,241,78,150,754,Hardcover,English,58676,None,1956
600126,Leaves of Grass: The Original 1855 Edition,Walt Whitman,4.11,93879,42381,28920,15589,4613,2376,2763,148,Paperback,English,28117,None,1855
600128,Leaves of Grass / Grasbladen,"Walt Whitman, Jacob Groot, Kees 't Hart",4.11,93879,42381,28920,15589,4613,2376,2763,191,Hardcover,Dutch,28117,None,1855
600132,A Woman of No Importance (Collected Works of Oscar Wilde),Oscar Wilde,3.89,11199,3002,4601,3005,491,100,670,0,Library Binding,English,2126646,None,1893
