BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series
1600004,Four Voyages to the New World: Letters and Selected Documents,Cristoforo Colombo,3.46,668,128,205,216,87,32,67,,1530,Hardcover,English,542468,
1600005,The Fungus Link to Health Problems,Doug A. Kaufmann,4.06,17,8,4,3,2,0,1,,January 1st 2008,Paperback,English,1593201,
1600012,22 Light Poems,Jackson Mac Low,4.60,20,16,1,2,1,0,1,71,1968,Unknown Binding,English,1593208,
1600009,Ruminations From The Garden,Don Henry Ford Jr.,3.63,8,3,3,0,0,2,4,,December 1st 2006,Paperback,English,1593205,
1600013,Mad Maddie Maxwell,"Stacie K.B. Maslyn, Jane Schettle",4.05,75,34,23,10,4,4,6,,March 1st 2000,Paperback,English,6737328,
1474902,Insight and Responsibility,Erik H. Erikson,3.86,29,5,15,9,0,0,4,256,April 1st 1964,Paperback,English,1465916,
1600024,Legends of the Gods: The Egyptian Texts; Edited with Translations,E.A. Wallis Budge,3.85,475,162,142,122,36,13,7,184,1912,Paperback,English,576165,
1600017,Infancia y Sociedad,Erik H. Erikson,4.06,1441,577,484,294,66,20,32,,1950,,Spanish,54594,
1600026,Legends That Every Child Should Know: A Selection of the Great Legends of All Times for Young People,Hamilton Wright Mabie,3.39,96,21,24,31,11,9,3,244,1907,Paperback,English,1593222,
1600027,Son Of An Arizona Legend,Stephen Bly,4.36,45,24,14,6,1,0,5,,April 15th 1994,Hardcover,English,3577428,The Legend of Stuart Brannon
1600034,"Cicero, Pro Caelio",Walter Englert,3.75,32,8,15,4,3,2,1,,June 1st 2003,Spiral-bound,,1593230,
1600033,Cicero: Pro Archia Poeta Oratio,Steven M. Cerutti,3.65,40,7,19,8,5,1,1,129,August 24th 2006,Paperback,English,1593229,
1600037,Pro Archia Poeta Oratio,"Marcus Tullius Cicero, Steven M. Cerutti",3.79,61,20,16,19,4,2,4,160,January 1st 1999,Paperback,English,73985688,
96821,The Homer Book,"Bill Morrison, Matt Groening",4.02,241,95,82,44,15,5,12,96,October 1st 2004,Paperback,English,93322,The Simpsons Library of Wisdom
96855,The Simpsons Uncensored Family Album,Matt Groening,4.04,255,108,75,52,14,6,19,64,1991,Hardcover,English,2252927,
1600040,Subversion zur Prime-Time: die Simpsons und die Mythen der Gesellschaft,"Michael Gruteser, Thomas Klein",3.70,10,1,5,4,0,0,0,240,May 31st 2002,Paperback,,1593236,
