BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
12100005,The Lightkeeper's Ball,Colleen Coble,4.15,3027,1258,1104,549,93,23,296,296,Paperback,English,14557241,Mercy Falls,2011
12100013,Are You Alone On Purpose?,Nancy Werlin,3.72,615,169,202,163,64,17,76,204,Hardcover,English,7366937,None,1994
12100023,Captain America: Hail Hydra,"Jonathan Maberry, Sergio Cariello",3.39,233,48,59,78,32,16,25,270,Paperback,English,15527875,Captain America: Miniseries,2011
12100027,Batman Vs the Undead,Kevin VanHook,2.78,171,23,16,51,62,19,22,270,Paperback,English,13603960,Batman Confidential,2011
12100026,The Cinder Path,Catherine Cookson,3.9,882,267,321,240,43,11,25,271,Paperback,English,2072728,None,1978
5901071,Superman: The Coming of Atlas,"James Robinson, Renato Guedes, Jose Wilson Magalhaes, Jack Kirby",2.9,271,22,46,108,74,21,42,128,Hardcover,English,6073426,Post-Crisis Superman,2009
5962000,"The Exterminators, Vol. 5: Bug Brothers Forever","Simon Oliver, Tony Moore, John Lucas, Ty Templeton",3.47,198,30,66,72,27,3,12,168,Paperback,English,6134850,The Exterminators,2008
12100048,Disney's Alice in Wonderland,Walt Disney Company,4.34,8974,5466,1697,1331,331,149,99,24,Paperback,English,1199253,None,1951
12100050,Superman & Supergirl Maelstrom,Justin Gray,3.23,160,16,35,82,24,3,24,270,Paperback,English,6728832,Supergirl,2009
12100053,Where Death Delights,Bernard Knight,3.56,235,43,81,81,24,6,43,256,Kindle Edition,English,8096350,Dr Richard Pryor Mystery,2010
12100055,The Machineries Of Joy,Ray Bradbury,3.99,2525,807,994,628,78,18,107,255,Paperback,English,116090,None,1964
12100065,Stasiland: Stories from Behind the Berlin Wall,Anna Funder,4.18,13475,5311,5835,1928,309,92,1289,307,Kindle Edition,English,219261,None,2003
74997,Five Run Away Together,Enid Blyton,4.08,15911,6272,5421,3547,551,120,393,264,Paperback,English,1075923,The Famous Five,1944
12100076,After All,Deborah Raney,4.27,366,179,123,53,6,5,54,368,Paperback,English,64712222,Hanover Falls,2012
12100074,An Uncommon Grace,Serena B. Miller,4.34,663,356,209,77,12,9,84,352,Paperback,English,17068858,None,2012
12100072,Second Generation,Howard Fast,4.11,1550,584,626,281,46,13,61,266,Paperback,English,102804,Lavette Family,1978
3098357,Zombie CSU,Jonathan Maberry,3.89,807,310,216,191,59,31,28,288,Paperback,English,3129512,None,2008
12100083,The Sword Bearer,John  White,3.79,811,257,242,228,52,32,39,294,Paperback,English,578816,Archives of Anthropos,1980
192243,Cult Following,Donn Cortez,3.7,211,55,62,74,15,5,10,320,Paperback,English,185883,CSI: Miami,2005
12100084,Wish You Were Here,Beth K. Vogt,4.12,488,202,183,72,21,10,123,313,Paperback,English,17068868,Wish You Were Here,2012
12100099,Jsa: Ghost Stories (A One Year Later Story) (Jsa): Ghost Stories (A One Year Later Story),"Paul Levitz, George Pérez, Rags Morales, Jerry Ordway",3.45,308,63,81,106,47,11,13,270,Paperback,English,794904,JSA (1999),2007
12100107,Terra Obscura: Volume 1,"Alan Moore, Peter Hogan, Yanick Paquette",3.4,280,38,80,121,39,2,15,160,Paperback,English,6564898,Terra Obscura,2004
32406,The Mysterious Key and What It Opened,Louisa May Alcott,3.55,960,183,298,361,99,19,121,112,Paperback,English,32596,None,1867
703833,Batman: Absolution,"J.M. DeMatteis, Brian Ashmore",3.16,276,33,66,105,56,16,23,96,Paperback,English,690123,Batman,2003
12100106,The greatest Superman stories ever told.,"Jerry Siegel, Mike Gold",3.89,187,55,67,56,7,2,17,336,Paperback,English,693893,The Greatest Stories Ever Told,1987
12100111,Pleasure Bound,Anne Rainey,3.86,364,107,137,89,23,8,34,256,ebook,English,15471135,Hard to Get,2011
12100110,Pleasure Bound,Anne Rainey,3.86,364,107,137,89,23,8,34,273,Kindle Edition,English,15471135,Hard to Get,2011
12100117,Crooked House,Agatha Christie,4.06,48317,16701,20121,9673,1418,404,3906,259,Kindle Edition,English,1113267,None,1949
12100123,Failure Is Not an Option: Mission Control from Mercury to Apollo 13 and Beyond,"Gene Kranz, Danny Campbell",4.28,7388,3498,2720,974,153,43,618,270,Audio CD,English,2110725,None,2000
12100130,Kage: The Shadow,John Donohue,4.06,158,57,63,29,8,1,13,296,ebook,English,16658314,Connor Burke and Yamashita Sensei,2011
12100129,Kage: The Shadow,John Donohue,4.06,158,57,63,29,8,1,13,298,Kindle Edition,English,16658314,Connor Burke and Yamashita Sensei,2011
12100132,To Sketch a Thief,Sharon Pape,3.7,247,57,92,70,22,6,40,305,Kindle Edition,English,14596493,A Portrait of Crime Mystery,2011
12100136,Luke's Surprise,Lavinia Lewis,3.56,1070,224,330,365,121,30,98,112,Kindle Edition,English,15711323,Shifters' Haven,2011
1359458,Cover Up,Clair M. Poulson,3.95,729,216,291,195,24,3,40,291,Paperback,English,1349226,None,2004
12100145,The Bite Before Christmas,"Jeaniene Frost, Lynsay Sands",4.16,16949,7443,5619,3209,551,127,930,368,Kindle Edition,English,15424160,Argeneau,2011
12100147,Evidence: A Novel of Suspense,Clair M. Poulson,3.83,686,190,248,197,46,5,58,270,Kindle Edition,English,2163892,None,2007
12100148,Hunted,Clair M. Poulson,3.71,576,146,200,162,54,14,74,256,Paperback,English,17340123,None,2011
12100176,Falling for Love,Marie Force,4.32,8527,4131,3149,1104,123,20,301,250,ebook,English,17068971,Gansett Island,2012
12100175,Zona: A Book About a Film About a Journey to a Room,Geoff Dyer,3.77,1266,307,519,316,89,35,222,192,ebook,English,16219431,None,2012
473623,The Folk of the Faraway Tree,Enid Blyton,4.33,15873,8794,4325,2165,385,204,263,185,Paperback,English,310738,The Faraway Tree,1946
12100201,The Cross and the Switchblade,"David Wilkerson, John Sherrill, Elizabeth Sherrill",4.24,49515,24851,14587,7705,1666,706,696,173,Mass Market Paperback,English,2094533,None,1963
16640,The Sorrows of Young Werther,"Johann Wolfgang von Goethe, Burton Pike",3.68,92910,24666,30880,24239,9143,3982,4751,149,Paperback,English,746264,None,1774
12100212,Elective affinities: a novel,Johann Wolfgang von Goethe,3.73,8422,2161,2955,2332,787,187,436,0,Nook,English,1426173,None,1809
12100219,The Cross and the Switchblade,"David Wilkerson, John Sherrill, Elizabeth Sherrill",4.24,49515,24851,14587,7705,1666,706,696,174,Paperback,English,2094533,None,1963
12100221,Fairy-Faith in Celtic Countries,W.Y. Evans-Wentz,4.08,1445,651,408,288,53,45,55,448,Paperback,English,1207086,None,1903
12100220,The Fairy-Faith in Celtic Countries,W.Y. Evans-Wentz,4.08,1445,651,408,288,53,45,55,0,Nook,English,1207086,None,1903
12100234,The Final Prophecy,"Greg Keyes, J. Gregory Keyes",3.8,5938,1708,2050,1650,352,178,63,322,Kindle Edition,English,1737246,Star Wars: The New Jedi Order,2003
12100269,Dumbheart: A Get Fuzzy Collection,Darby Conley,4.3,262,134,82,38,6,2,11,127,Paperback,English,6981474,Get Fuzzy,2009
