BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
12600005,Pierwszy krok w chmurach,Marek Hłasko,4.09,728,264,294,146,16,8,16,256,Hardcover,Polish,6775887,Dzieła zebrane,1956
12600025,Wildflowers from Winter,Katie Ganshert,4.09,1238,466,489,229,40,14,251,293,Paperback,English,17615159,Wildflowers from Winter,2012
12600037,الأعمال الكاملة .. أورهان ولي,"Orhan Veli Kanık, عبد القادر عبد اللي",4.45,5033,2976,1497,454,85,21,136,272,Paperback,Arabic,2932957,None,1951
12600087,Juna Venetsiasta,Georges Simenon,3.54,162,25,59,62,10,6,36,190,Hardcover,Finnish,135507,None,1965
12600112,The Meaning Of Wife,Anne Kingston,3.68,1050,278,328,307,106,31,117,336,Paperback,English,1311519,None,2004
12600110,Miss Julia Paints the Town,"Ann B. Ross, Cynthia Darlow",4.03,2691,937,1021,625,88,20,197,0,MP3 Book,English,1664077,Miss Julia,2008
12600119,Cold in July,Joe R. Lansdale,3.96,2116,607,944,455,93,17,256,195,ebook,English,3195345,None,1990
12600128,The Gilded Age,Mark Twain,3.55,1248,229,407,459,126,27,156,0,ebook,English,3314995,None,1873
12600134,Monique and the Mango Rains: An Extraordinary Story of Friendship in a Midwife's House in Mali,Kris Holloway,4.17,4048,1659,1601,645,100,43,445,297,Paperback,English,17445,None,2006
12600138,Ready Player One,Ernest Cline,4.24,941054,472580,296939,117764,35738,18033,91139,374,Paperback,English,14863741,Ready Player One,2011
332753,The Oracle Betrayed,Catherine Fisher,3.81,1914,500,748,505,123,38,135,352,Paperback,English,323288,The Oracle Prophecies,2003
12600149,Klieveling,"Nikki Gemmell, Suzan de Wilde",3.5,305,52,103,107,30,13,33,237,Paperback,Dutch,1236451,None,1998
12600153,"Not the Last Goodbye: On Life, Death, Healing, and Cancer",David Servan-Schreiber,4.06,454,166,174,93,16,5,51,2,Audiobook,English,21357903,None,2011
12600154,"Not the Last Goodbye: On Life, Death, Healing, and Cancer",David Servan-Schreiber,4.06,454,166,174,93,16,5,51,1,Audio CD,English,21357903,None,2011
12600155,"Not the Last Goodbye: On Life, Death, Healing, and Cancer",David Servan-Schreiber,4.06,454,166,174,93,16,5,51,2,Audio CD,English,21357903,None,2011
12600156,"Not the Last Goodbye: On Life, Death, Healing, & Cancer",David Servan-Schreiber,4.06,454,166,174,93,16,5,51,2,Audio CD,English,21357903,None,2011
