BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series
1501678,Magic Kingdom for Sale - Sold!,"Terry Brooks, Dick Hill",3.90,34821,10867,12505,8855,2122,472,1172,6,March 12th 1986,Audio Cassette,English,287715,Magic Kingdom of Landover
1501687,The Riddle of the Dinosaur,"John Noble Wilford, Mark   Hallett",4.03,96,27,51,14,2,2,7,360,1985,Paperback,English,2071810,
3389563,We Reach the Moon: The New York Times Story of Man's Greatest Adventure,John Noble Wilford,4.04,71,24,26,21,0,0,10,333,1969,Paperback,English,1493117,
1501684,Mars Beckons,John Noble Wilford,3.67,15,3,5,6,1,0,4,244,1989,Hardcover,English,3478193,
1501690,Butterfly Revolution,William Butler,3.65,550,126,195,155,56,18,54,221,January 1st 1961,Mass Market Paperback,English,344253,
1501691,The Butterfly Revolution,William Butler,3.65,550,126,195,155,56,18,54,,January 1st 1961,Mass Market Paperback,English,344253,
1501697,"Love, Life and Linguine",Melissa Jacobs,3.01,142,15,30,52,32,13,17,256,March 28th 2006,Paperback,English,1493126,
1501692,Butterfly Revolution,William Butler,3.65,550,126,195,155,56,18,54,0,January 1st 1961,Paperback,English,344253,
1501693,Butterfly Revolution,William Butler,3.65,550,126,195,155,56,18,54,224,January 1st 1961,Mass Market Paperback,English,344253,
1501698,Lessons in Duck Hunting: A Novel,Jayne Buxton,3.39,111,6,45,47,12,1,16,352,January 1st 2006,Paperback,English,1801074,
1501694,Butterfly Revolution,William Butler,3.65,550,126,195,155,56,18,54,0,January 1st 1961,Mass Market Paperback,English,344253,
1501695,The Girl Who Owned a City,"O.T. Nelson, L'Enc Matte",3.80,4719,1601,1412,1084,417,205,580,180,1975,Hardcover,English,2736,
1501703,Tom Jones,Robin Eggar,3.82,11,2,5,4,0,0,3,,June 8th 2000,Hardcover,English,1493132,
1501701,Consider the Lilies,"Iain C. Smith, Iain C. Smith",3.92,508,147,216,106,35,4,46,192,January 1st 1968,Hardcover,English,37032,
1501705,Le Billet Gagnant,Mary Higgins Clark,3.59,582,135,168,196,69,14,33,350,1989,Paperback,French,365430,
1501710,The Corrigan Legacy,Anna Jacobs,4.25,183,91,59,24,5,4,10,282,May 1st 2006,Paperback,English,1493139,
1501708,Calico Road,Anna Jacobs,4.56,509,346,120,31,6,6,9,512,2005,Paperback,English,2595669,The Staley Family
1501712,Salem Street,Anna Jacobs,4.40,953,560,264,94,17,18,42,486,July 1st 1994,Hardcover,English,3050780,The Gibson Family
1501699,Bony and the Kelly Gang,Arthur W. Upfield,3.91,232,76,79,61,12,4,19,192,1960,Paperback,,288723,Inspector Napoleon Bonaparte
1501706,Ne pleure pas ma belle,"Mary Higgins Clark, Anne Damour",3.83,14092,3675,5205,4462,639,111,377,335,1987,Paperback,French,1493174,Alvirah & Willy
1501707,Nous n'irons plus au bois,"Mary Higgins Clark, Anne Damour",3.96,25131,8028,9393,6612,926,172,716,309,June 1st 1989,Mass Market Paperback,French,1493482,
1501696,The Poisonwood Bible,Barbara Kingsolver,4.07,673104,297429,208890,105963,37508,23314,23770,,September 24th 1998,Paperback,,810663,
1501714,Our Mary Ann,Anna Jacobs,4.52,531,355,118,39,15,4,16,416,2003,Paperback,English,1493143,The Kershaw Sisters
1501713,Lancashire Lass,Anna Jacobs,4.50,535,351,124,44,7,9,16,403,2000,Hardcover,English,1493142,The Lancashire Settlers
1501718,Agents of Transformation: A Guide for Effective Cross-Cultural Ministry,Sherwood G. Lingenfelter,3.64,25,6,8,8,2,1,1,282,May 1st 1996,Paperback,English,1493147,
1501715,Our Eva,Anna Jacobs,4.54,378,259,82,25,7,5,14,384,2002,Paperback,English,1493144,The Kershaw Sisters
1501717,Marrying Miss Martha,Anna Jacobs,4.20,558,281,160,80,21,16,19,432,July 1st 2004,Hardcover,English,1493146,
1501719,Twopenny Rainbows,Anna Jacobs,4.51,760,490,201,43,18,8,15,448,2004,Hardcover,English,1493148,The Irish Sisters
1501716,Daddy's Little Girl,Mary Higgins Clark,3.87,19006,5465,6989,5411,950,191,895,,April 16th 2002,Hardcover,English,3013598,
1501728,A Forbidden Embrace,Anna Jacobs,4.08,24,9,9,5,1,0,2,464,October 1st 2001,Hardcover,English,1493157,
1501725,Down Weavers Lane,Anna Jacobs,4.52,456,306,104,31,8,7,9,512,2002,Paperback,English,1493154,The Staley Family
1501727,Mistress of Marymoor,Anna Jacobs,4.21,474,238,136,73,17,10,16,368,November 2002,Hardcover,English,3050782,
1501726,Pride of Lancashire,Anna Jacobs,4.47,389,243,103,29,9,5,12,432,August 1st 2005,Hardcover,English,1493155,The Preston Family
1501729,A Pennyworth of Sunshine,Anna Jacobs,4.50,715,471,165,53,16,10,24,528,2003,Paperback,English,1493158,The Irish Sisters
1501730,All Around The Town,Mary Higgins Clark,3.96,25131,8028,9393,6612,926,172,716,341,June 1st 1989,Hardcover,English,1493482,
1501732,All Around the Town,Mary Higgins Clark,3.96,25131,8028,9393,6612,926,172,716,302,June 1st 1989,Hardcover,English,1493482,
1501731,All Around The Town,Mary Higgins Clark,3.96,25131,8028,9393,6612,926,172,716,,June 1st 1989,Hardcover,English,1493482,
1501733,All Around the Town,Mary Higgins Clark,3.96,25131,8028,9393,6612,926,172,716,,June 1st 1989,Hardcover,English,1493482,
