BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
1000012,A Wild Yearning,Penelope Williamson,3.81,426,135,151,84,38,18,51,448.0,Paperback,English,985503,None,1990
1000013,Haroun And The Sea Of Stories,Salman Rushdie,4.01,29976,10943,10853,6133,1573,474,2505,293.0,,,1934157,Khalifa Brothers,1990
1000014,Haroun and the Sea of Stories,Salman Rushdie,4.01,29976,10943,10853,6133,1573,474,2505,219.0,Hardcover,English,1934157,Khalifa Brothers,1990
1000016,Haroun and the Sea of Stories,Salman Rushdie,4.01,29976,10943,10853,6133,1573,474,2505,219.0,Hardcover,,1934157,Khalifa Brothers,1990
1000015,Haroun and the Sea of Stories,Salman Rushdie,4.01,29976,10943,10853,6133,1573,474,2505,280.0,Hardcover,English,1934157,Khalifa Brothers,1990
1000022,Complete Poems of Paul Laurence Dunbar,Paul Laurence Dunbar,4.49,200,122,57,17,4,0,11,293.0,Hardcover,English,59910902,None,1913
1000020,There and Back Again: An Actor's Tale,"Sean Astin, Joe Layden",3.87,2988,1270,618,673,297,130,201,0.0,Audio CD,English,4021,None,2003
1000030,Anne of Green Gables,"L.M. Montgomery, Shelly Frasier",4.26,771506,403897,220193,104964,27588,14864,24949,0.0,Audio CD,English,3464264,Anne of Green Gables,1908
1000029,Feu Pâle,"Vladimir Nabokov, Raymond Girard, Maurice-Edgar Coindreau",4.1,45620,20981,13937,6699,2494,1509,2723,343.0,Paperback,French,1222661,None,1962
1000031,Before I Wake,Anne Frasier,3.93,1790,632,595,403,126,34,92,373.0,Hardcover,English,443861,None,2005
1000041,In the Sewers of Lvov: A Heroic Story of Survival from the Holocaust,Robert Marshall,4.21,248,108,96,35,7,2,24,202.0,Hardcover,English,985532,None,1990
1000036,Behind the Secret Window,Nelly S. Toll,3.92,368,111,135,107,10,5,55,160.0,Hardcover,English,57183,None,1993
1000054,After-Dinner Conversation: The Diary of a Decadent,José Asunción Silva,3.63,175,35,65,58,10,7,15,260.0,Paperback,English,2720190,None,1925
1000050,Dune Messiah,Frank Herbert,3.89,148371,42018,59405,36795,8251,1902,4902,222.0,Mass Market Paperback,English,3634570,Dune,1969
