BookID,Title,Author,Rating,Number of raters,5 stars,4 stars,3 stars,2 stars,1 star,Number of reviewers,Pages,Book format,Language,GenreLink,Series,PublishYear
1100003,The Prince,"Niccolò Machiavelli, Harvey Mansfield Jr.",3.82,272989,80502,95517,71040,19454,6476,8953,151,Hardcover,English,1335445,None,1532
1100012,Inequality Reexamined [Electronic Resource],Amartya Sen,4.11,224,78,99,40,7,0,13,222,Paperback,English,1086889,None,1991
1100009,The Idea of a University,"John Henry Newman, Frank M. Turner",4.12,654,290,214,99,39,12,38,400,Paperback,English,437900,None,1873
1100020,Rousseau: 'the Discourses' and Other Early Political Writings,Jean-Jacques Rousseau,4.04,827,331,273,167,38,18,9,437,Hardcover,English,14937,Cambridge Texts in the History of Political Thought,1997
1100023,Rousseau: 'The Social Contract' and Other Later Political Writings: Social Contract and Other Later Political Writings Vol 2,Jean-Jacques Rousseau,4.07,735,299,235,160,35,6,7,398,Hardcover,English,28383,Cambridge Texts in the History of Political Thought,1997
1100022,The First and Second Discourses Together with the Replies to Critics and Essay on the Origin of Languages,Jean-Jacques Rousseau,3.85,1692,466,671,431,85,39,64,291,Hardcover,English,10225171,None,1762
1100018,Third Girl,Agatha Christie,3.68,23289,5098,8270,7758,1805,358,1117,291,Paperback,English,1084447,Hercule Poirot,1966
1100019,Peril At End House,"Agatha Christie, Hugh Fraser",3.97,44473,12594,19604,10702,1293,280,2520,291,Audio Cassette,English,2991011,Hercule Poirot,1932
1100042,Horton Hears a Who!,Dr. Seuss,4.18,99692,48106,28541,17610,3920,1515,1547,72,Hardcover,English,933973,Horton the Elephant,1954
1100040,Horton Hears a Who!,Dr. Seuss,4.18,99692,48106,28541,17610,3920,1515,1547,291,Hardcover,English,933973,Horton the Elephant,1954
1100044,"Horton Hears a Who and Other Sounds of Dr. Seuss: Horton Hears a Who; Horton Hatches the Egg; Thidwick, the Big-Hearted Moose","Dr. Seuss, Dustin Hoffman, Billy Crystal, Mercedes McCambridge",4.29,845,465,216,118,34,12,21,0,Audio CD,English,1086921,None,2008
1100039,Dr. Seuss: Horton Hears a Who,Dr. Seuss,4.18,99692,48106,28541,17610,3920,1515,1547,291,Paperback,English,933973,Horton the Elephant,1954
1100038,Mord in Mesopotamien,Agatha Christie,3.92,41246,11278,17381,10853,1449,285,1964,195,Paperback,German,1355172,Hercule Poirot,1936
1100041,The Hollow,Agatha Christie,3.82,25321,6300,10174,7217,1322,308,1543,411,Paperback,English,2131383,Hercule Poirot,1946
1100043,La Maison du péril,"Agatha Christie, Robert Nobret",3.97,44473,12594,19604,10702,1293,280,2520,222,Mass Market Paperback,French,2991011,Hercule Poirot,1932
1100056,Field of Thirteen,Dick Francis,3.74,2605,600,959,842,171,33,154,365,Paperback,English,1086933,None,1998
1100057,N or M?,Agatha Christie,3.78,19123,4603,7270,5837,1217,196,1178,291,Audiobook,English,631927,Tommy & Tuppence Mysteries,1941
1100065,The Anti-Federalist Papers and the Constitutional Convention Debates,Ralph Ketchum,4.09,3483,1394,1201,734,126,28,57,408,Paperback,English,2085535,None,1986
1100072,Barnyard Banter,Denise Fleming,3.91,1504,501,504,380,105,14,119,32,Paperback,English,2035015,None,1994
1100067,The Essential Federalist and Anti-Federalist Papers,David Wootton,4.25,375,186,115,59,13,2,33,392,Hardcover,English,106334,None,1999
1100071,Perrine's Sound and Sense: An Introduction to Poetry,"Thomas R. Arp, Greg Johnson",3.93,949,343,304,216,61,25,78,455,Paperback,English,142595,None,1956
824204,The Little Engine That Could,"Watty Piper, Doris Hauman, George Hauman",4.16,104612,52537,26180,18573,5104,2218,1494,48,Hardcover,English,258562,The Little Engine That Could,1930
1100074,Baby's Little Engine That Could,Watty Piper,4.16,104612,52537,26180,18573,5104,2218,1494,8,Hardcover,English,258562,The Little Engine That Could,1930
