BookID,Title,Author,Rate,Raters,Reviewers,Pages,PublishYear,GenreLink,Series,review,Genre,NumberOfPeople
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,to-read,3058
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,philosophy,71
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,anarchism,69
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,politics,61
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,currently-reading,49
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,non-fiction,28
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,nonfiction,14
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,political,13
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,economics,13
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,history,8
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,anarchy,8
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,theory,7
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,russian,7
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,political-science,7
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,essays,7
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,owned,6
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,anarchist,6
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,russia,5
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,own,5
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,political-theory,5
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,political-philosophy,5
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,socialism,4
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,owned-books,4
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,sociology,4
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,social-justice,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,to-buy,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,revolution,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,left,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,wishlist,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,politics-to-read,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,marxism,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,classics,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,philosophy-politics,3
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,filosofia,2
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,default,2
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,favorites,2
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,politics-political-philosophy,2
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,communism,2
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,economics-politics,2
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,remember,2
61001,Anarchism: A Collection of Revolutionary Writings,Pyotr Kropotkin,4.2,794,26,307.0,1968,/work/shelves/1949194,,2,leftism,2
